tx_bytes,rx_bytes,tx_packets,rx_packets,latencia,congestion
194074288,5279208293,2565183,4312862,36,0
194203090,5281538446,2566800,4315690,5,0
194261909,5282348549,2567530,4316844,37,0
194310714,5283200592,2568272,4318086,15,0
194365618,5283985619,2568980,4319244,5,0
194420137,5284844446,2569674,4320411,27,0
194476608,5285627101,2570409,4321538,8,0
194519175,5286328371,2571068,4322544,12,0
194572742,5287037111,2571752,4323580,7,0
194626718,5287748502,2572448,4324614,31,0
194681828,5288526871,2573167,4325702,21,0
194734946,5289241696,2573877,4326750,4,0
194783672,5290026069,2574602,4327860,13,0
194836221,5290750213,2575275,4328897,10,0
194889840,5291478000,2575964,4329946,29,0
194944424,5292287003,2576668,4331049,5,0
195027182,5293018822,2577365,4332122,6,0
195080519,5293752634,2578033,4333178,4,0
195135666,5294493866,2578711,4334237,9,0
195199066,5295300328,2579485,4335423,4,0
195243043,5296194190,2579930,4336317,4,0
195273086,5296562845,2580257,4336818,9,0
195290830,5296863024,2580531,4337257,9,0
195310290,5297292400,2580833,4337791,4,0
195328991,5297604958,2581119,4338225,28,0
195358188,5298054589,2581435,4338779,19,0
195397303,5298643944,2581986,4339633,23,0
195424718,5298949770,2582275,4340078,7,0
195441784,5299249301,2582538,4340499,17,0
195459848,5299561242,2582811,4340945,10,0
195504512,5300212686,2583361,4341818,19,0
195523583,5300546261,2583656,4342282,108,0
195543376,5300870306,2583958,4342738,6,0
195571366,5301185119,2584256,4343185,11,0
195577381,5301272239,2584346,4343311,8,0
195587676,5301279386,2584363,4343330,5,0
195588557,5301280086,2584373,4343338,13,0
195598405,5301286518,2584386,4343351,7,0
195598698,5301286844,2584391,4343356,3430,1
195611681,5301303336,2584431,4343395,10,0
195612579,5301303942,2584442,4343404,4,0
195622738,5301310668,2584459,4343422,4,0
195639759,5301336842,2584508,4343475,7,0
195709277,5301875413,2584845,4343969,17,0
195756237,5302161032,2585059,4344262,10,0
195756726,5302161696,2585067,4344272,5,0
195767338,5302167630,2585091,4344293,6,0
195767654,5302169098,2585096,4344300,7,0
195767838,5302169304,2585099,4344303,4,0
195779389,5302176984,2585131,4344331,25,0
195786621,5302201954,2585170,4344378,4,0
195807501,5302224042,2585234,4344437,20,0
195828302,5302264789,2585305,4344519,5,0
195833092,5302271093,2585322,4344534,11,0
195841876,5302275111,2585343,4344556,5,0
195843694,5302281106,2585357,4344575,6,0
195854152,5302287958,2585377,4344592,17,0
195858201,5302297277,2585396,4344614,4,0
195860092,5302301456,2585410,4344629,8,0
195871766,5302310146,2585432,4344652,5,0
195872100,5302312313,2585438,4344661,4,0
195877204,5302319798,2585458,4344679,4,0
195889756,5302332572,2585487,4344713,4,0
195890840,5302334968,2585495,4344723,26,0
195903100,5302349871,2585535,4344766,4,0
195913436,5302353629,2585550,4344783,8,0
195923738,5302365761,2585581,4344818,15,0
195936633,5302382306,2585615,4344852,7,0
195940900,5302390198,2585638,4344876,5,0
195951838,5302399910,2585667,4344902,26,0
195961010,5302417990,2585702,4344945,8,0
195963211,5302423413,2585717,4344959,4,0
195975094,5302432260,2585744,4344984,6,0
195975482,5302434440,2585750,4344993,5,0
195977699,5302438773,2585765,4345008,5,0
195988174,5302445639,2585785,4345028,4,0
195988437,5302445899,2585789,4345032,25,0
195992498,5302451294,2585801,4345042,5,0
195998982,5302453038,2585810,4345053,108,0
195999370,5302453610,2585816,4345060,8,0
196009793,5302460820,2585838,4345082,5,0
196009977,5302461026,2585841,4345085,5,0
196010716,5302461562,2585849,4345091,26,0
196020540,5302468168,2585863,4345107,8,0
196020837,5302468374,2585867,4345110,7,0
196021551,5302468828,2585875,4345117,5,0
196040374,5302493458,2585926,4345170,5,0
196050976,5302504130,2585953,4345198,5,0
196065915,5302521951,2585999,4345241,4,0
196066285,5302523328,2586005,4345248,5,0
196068461,5302527427,2586018,4345262,5,0
196089156,5302546197,2586064,4345310,4,0
196092311,5302557466,2586085,4345335,4,0
196116495,5302567884,2586119,4345371,6,0
196127282,5302577010,2586137,4345392,4,0
196127621,5302577312,2586142,4345397,5,0
196136929,5302586228,2586170,4345421,26,0
196142908,5302589682,2586182,4345434,5,0
196148622,5302598086,2586199,4345452,5,0
196161515,5302606922,2586232,4345480,7,0
196177574,5302669355,2586286,4345546,8,0
196178266,5302671101,2586298,4345558,5,0
196194607,5302689749,2586340,4345602,5,0
196194900,5302690075,2586345,4345607,11,0
196196760,5302695601,2586357,4345619,0,0
196255693,5302808845,2586501,4345790,108,0
196284368,5302831270,2586556,4345857,6,0
196286045,5302831749,2586562,4345863,5,0
196286395,5302832172,2586567,4345867,4,0
196296663,5302839351,2586587,4345891,25,0
196298457,5302840244,2586603,4345904,6,0
196309221,5302847593,2586631,4345931,27,0
196310136,5302848053,2586639,4345937,5,0
196310941,5302849462,2586648,4345947,7,0
196326361,5302870173,2586690,4345993,5,0
196329642,5302874867,2586706,4346008,10,0
196340197,5302881855,2586727,4346029,28,0
196342215,5302893069,2586745,4346053,4,0
196380560,5304445836,2587364,4347142,10,0
196466853,5307932934,2588664,4349581,9,0
196547889,5310547168,2589816,4351415,12,0
196581602,5311351610,2590169,4351995,10,0
196592892,5311695655,2590332,4352246,5,0
196603584,5311702865,2590355,4352268,5,0
196605265,5311709779,2590371,4352291,9,0
196605503,5311710124,2590375,4352296,4,0
196605741,5311710318,2590379,4352299,1257,1
196613408,5311717953,2590417,4352329,11,0
196632473,5311721922,2590448,4352360,7,0
196640133,5311740954,2590473,4352392,8,0
196643669,5311748307,2590508,4352423,18,0
196655227,5311760413,2590536,4352453,4,0
196664048,5311795409,2590589,4352510,37,0
196751164,5311890805,2590854,4352774,7,0
196788102,5311930477,2590970,4352902,25,0
196845860,5311953305,2591040,4352990,8,0
196869639,5311962740,2591068,4353029,9,0
196888245,5312055337,2591106,4353118,7,0
196939251,5313790545,2591481,4354344,8,0
196976116,5313964465,2591553,4354506,8,0
197003102,5314875810,2591807,4355160,13,0
197035158,5316120959,2592138,4356041,15,0
197054041,5316122809,2592160,4356062,6,0
197071673,5316129383,2592186,4356089,8,0
197107740,5316149326,2592242,4356145,8,0
197127061,5316166951,2592287,4356193,6,0
197142849,5316173550,2592306,4356216,25,0
197176981,5316187566,2592348,4356263,18,0
197193125,5316190302,2592372,4356283,12,0
197210922,5316197632,2592393,4356307,8,0
197266513,5316217529,2592474,4356394,6,0
197277475,5316223822,2592494,4356416,12,0
197292348,5316226552,2592515,4356440,11,0
197318690,5316233967,2592545,4356474,9,0
197335597,5316237373,2592570,4356497,3406,1
197364515,5316248344,2592633,4356559,13,0
197376210,5316254107,2592665,4356592,18,0
197392150,5316255888,2592682,4356610,26,0
197435193,5316270854,2592733,4356665,24,0
197452531,5316272926,2592754,4356689,14,0
197461071,5316274040,2592769,4356703,9,0
197476703,5316342994,2592832,4356786,6,0
197545111,5316406705,2593107,4357011,7,0
197594878,5316473623,2593250,4357183,30,0
197618701,5316509080,2593305,4357260,12,0
197645342,5316562764,2593374,4357342,13,0
197666899,5316735295,2593435,4357485,7,0
197681125,5316738513,2593463,4357510,12,0
197713676,5316882795,2593538,4357654,13,0
197744643,5317188440,2593674,4357888,5,0
197762177,5317360178,2593742,4358029,11,0
197774348,5317472779,2593783,4358128,8,0
197797253,5317609051,2593854,4358247,5,0
197820231,5317627146,2593893,4358296,26,0
197833069,5317629332,2593921,4358322,10,0
197847894,5317630783,2593938,4358340,17,0
197872479,5317652724,2593997,4358405,5,0
197905735,5317670929,2594050,4358466,17,0
197924153,5317673103,2594074,4358491,7,0
197938593,5317674271,2594088,4358505,14,0
197953993,5317676852,2594112,4358526,14,0
197996470,5317748806,2594209,4358660,23,0
198019614,5317751608,2594231,4358684,18,0
198045414,5317754656,2594261,4358720,34,0
198067023,5317756169,2594277,4358735,13,0
198096137,5317772369,2594322,4358785,7,0
198122185,5317776816,2594353,4358818,35,0
198142125,5317868890,2594418,4358912,8,0
198174433,5317889995,2594462,4358967,0,0
198221971,5317900382,2594519,4359026,3513,1
198251172,5317928696,2594593,4359113,7,0
198259776,5317933496,2594610,4359130,108,0
198276053,5317937811,2594632,4359153,10,0
198299871,5317945639,2594656,4359181,7,0
198320919,5317947043,2594672,4359198,4,0
198354988,5318018682,2594736,4359290,6,0
198374574,5318021703,2594756,4359314,7,0
198396615,5318023402,2594773,4359332,10,0
198421241,5318030049,2594797,4359358,7,0
198435443,5318032753,2594815,4359379,24,0
198449565,5318034049,2594828,4359393,9,0
198506916,5318295185,2594978,4359639,5,0
198522149,5318296535,2594995,4359654,6,0
198587953,5318322747,2595073,4359734,9,0
198610489,5318324466,2595091,4359757,19,0
198628894,5318333130,2595126,4359794,10,0
198631722,5318334254,2595140,4359807,6,0
